id,title,tags
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger williammoseley annapopplewell skandarkeynes adventure family fantasy andrewadamson
246655,X-Men: Apocalypse,mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s jamesmcavoy michaelfassbender jenniferlawrence sciencefiction bryansinger
155,The Dark Knight,dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman christianbale heathledger aaroneckhart drama action crime thriller christophernolan
14160,Up,agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring edasner christopherplummer jordannagai animation comedy family adventure petedocter
15512,Monsters vs Aliens,alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie animation family adventure sciencefiction conradvernon
1726,Iron Man,middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson robertdowneyjr. terrencehoward jeffbridges action sciencefiction adventure jonfavreau
44826,Hugo,library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d benkingsley sachabaroncohen asabutterfield adventure drama family martinscorsese
8487,Wild Wild West,steampunk basedontvseries steamlocomotive drag willsmith kevinkline kennethbranagh action adventure comedy sciencefiction western barrysonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,brendanfraser jetli johnhannah adventure action fantasy robcohen
297761,Suicide Squad,dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse willsmith margotrobbie joelkinnaman action adventure crime fantasy sciencefiction davidayer
2698,Evan Almighty,fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark stevecarell laurengraham johngoodman fantasy comedy family tomshadyac
137113,Edge of Tomorrow,dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton tomcruise emilyblunt brendangleeson action sciencefiction dougliman
9804,Waterworld,ocean tattoo mutant water dystopia doomsday kevincostner chaimgirafi rickaviles adventure action kevinreynolds
14869,G.I. Joe: The Rise of Cobra,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra dennisquaid channingtatum marlonwayans adventure action thriller sciencefiction stephensommers
150540,Inside Out,dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions amypoehler phyllissmith richardkind drama comedy animation family petedocter
278927,The Jungle Book,basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals neelsethi billmurray benkingsley family adventure drama fantasy jonfavreau
10138,Iron Man 2,malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse robertdowneyjr. gwynethpaltrow doncheadle adventure action sciencefiction jonfavreau
58595,Snow White and the Huntsman,queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress kristenstewart charlizetheron chrishemsworth adventure fantasy drama rupertsanders
102651,Maleficent,fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d angelinajolie ellefanning sharltocopley fantasy adventure action family romance robertstromberg
119450,Dawn of the Planet of the Apes,leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d andyserkis jasonclarke garyoldman sciencefiction action drama thriller mattreeves
79698,The Lovers,joshhartnett simonekessell tamsinegerton action adventure sciencefiction romance rolandjoffé
64686,47 Ronin,japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d keanureeves hiroyukisanada koushibasaki drama action adventure fantasy carlrinsch
100402,Captain America: The Winter Soldier,washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller chrisevans samuell.jackson scarlettjohansson action adventure sciencefiction anthonyrusso
10192,Shrek Forever After,ogre 3d mikemyers eddiemurphy camerondiaz comedy adventure fantasy animation family mikemitchell
158852,Tomorrowland,inventor apocalypse destiny imax dreamer futuristiccar futuristiccity brittrobertson georgeclooney raffeycassidy adventure family mystery sciencefiction bradbird
177572,Big Hero 6,brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother scottadsit ryanpotter danielhenney adventure family animation action comedy chriswilliams
82690,Wreck-It Ralph,supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject johnc.reilly sarahsilverman jackmcbrayer family animation comedy adventure richmoore
5255,The Polar Express,santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas tomhanks michaeljeter nonagaye adventure animation family fantasy robertzemeckis
47933,Independence Day: Resurgence,alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman action adventure sciencefiction rolandemmerich
10191,How to Train Your Dragon,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior jaybaruchel gerardbutler craigferguson fantasy adventure animation family chrissanders
296,Terminator 3: Rise of the Machines,savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist arnoldschwarzenegger nickstahl clairedanes action thriller sciencefiction jonathanmostow
118340,Guardians of the Galaxy,marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse chrispratt zoesaldana davebautista action sciencefiction adventure jamesgunn
157336,Interstellar,savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity matthewmcconaughey jessicachastain annehathaway adventure drama sciencefiction christophernolan
27205,Inception,lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero leonardodicaprio josephgordon-levitt ellenpage action thriller sciencefiction mystery adventure christophernolan
315011,Shin Godzilla,monster godzilla giantmonster destruction kaiju toyko hirokihasegawa yutakatakenouchi satomiishihara action adventure drama horror sciencefiction hideakianno
49051,The Hobbit: An Unexpected Journey,riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes ianmckellen martinfreeman richardarmitage adventure fantasy action peterjackson
9799,The Fast and the Furious,streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger paulwalker vindiesel michellerodriguez action crime thriller robcohen
4922,The Curious Case of Benjamin Button,diary navy funeral tea travel hospital cateblanchett bradpitt tildaswinton fantasy drama thriller mystery romance davidfincher
49538,X-Men: First Class,cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s jamesmcavoy michaelfassbender jenniferlawrence action sciencefiction adventure matthewvaughn
131634,The Hunger Games: Mockingjay - Part 2,revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth action adventure sciencefiction francislawrence
27022,The Sorcerer's Apprentice,witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana nicolascage jaybaruchel monicabellucci fantasy adventure action comedy drama jonturteltaub
503,Poseidon,newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship kurtrussell richarddreyfuss joshlucas adventure action drama thriller wolfgangpetersen
241259,Alice Through the Looking Glass,basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d johnnydepp miawasikowska annehathaway fantasy jamesbobin
810,Shrek the Third,ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger mikemyers eddiemurphy camerondiaz fantasy adventure animation comedy family chrismiller
68735,Warcraft,videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery paulapatton travisfimmel benfoster action adventure fantasy duncanjones
87101,Terminator Genisys,savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d arnoldschwarzenegger jasonclarke emiliaclarke sciencefiction action thriller adventure alantaylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest skandarkeynes georgiehenley simonpegg adventure family fantasy michaelapted
676,Pearl Harbor,nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up benaffleck joshhartnett katebeckinsale history romance war michaelbay
1858,Transformers,destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero shialabeouf joshduhamel meganfox adventure sciencefiction action michaelbay
1966,Alexander,aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld colinfarrell angelinajolie valkilmer war history action adventure drama romance oliverstone
675,Harry Potter and the Order of the Phoenix,prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism danielradcliffe rupertgrint emmawatson adventure fantasy family mystery davidyates
674,Harry Potter and the Goblet of Fire,magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel danielradcliffe rupertgrint emmawatson adventure fantasy family mikenewell
8960,Hancock,flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger willsmith charlizetheron jasonbateman fantasy action peterberg
6479,I Am Legend,savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic willsmith alicebraga charlietahan drama horror action thriller sciencefiction francislawrence
118,Charlie and the Chocolate Factory,londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher johnnydepp freddiehighmore davidkelly adventure comedy family fantasy timburton
2062,Ratatouille,paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat pattonoswalt ianholm louromano animation comedy family fantasy janpinkava
272,Batman Begins,himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove christianbale michaelcaine liamneeson action crime drama christophernolan
10527,Madagascar: Escape 2 Africa,africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger benstiller jadapinkettsmith davidschwimmer family animation ericdarnell
18360,Night at the Museum: Battle of the Smithsonian,museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian benstiller amyadams owenwilson adventure fantasy action comedy family shawnlevy
2080,X-Men Origins: Wolverine,corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger hughjackman lievschreiber dannyhuston adventure action thriller sciencefiction gavinhood
605,The Matrix Revolutions,savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism keanureeves laurencefishburne carrie-annemoss adventure action thriller sciencefiction lillywachowski
109445,Frozen,queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d kristenbell idinamenzel jonathangroff animation adventure family chrisbuck
604,The Matrix Reloaded,savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism keanureeves carrie-annemoss laurencefishburne adventure action thriller sciencefiction lillywachowski
76338,Thor: The Dark World,marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard chrishemsworth natalieportman tomhiddleston action adventure fantasy alantaylor
76341,Mad Max: Fury Road,future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture tomhardy charlizetheron nicholashoult action adventure sciencefiction thriller georgemiller
13448,Angels & Demons,rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern tomhanks ewanmcgregor ayeletzurer thriller mystery ronhoward
10195,Thor,newmexico banishment shield marvelcomic hammer superhero basedoncomicbook redemption norsemythology aftercreditsstinger marvelcinematicuniverse 3d asgard odin heimdall chrishemsworth natalieportman tomhiddleston adventure fantasy action kennethbranagh
13053,Bolt,hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship johntravolta mileycyrus susieessman animation family adventure comedy chriswilliams
19585,G-Force,dyr duringcreditsstinger samrockwell penélopecruz tracymorgan fantasy action adventure family comedy hoytyeatman
57165,Wrath of the Titans,underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d samworthington liamneeson ralphfiennes adventure jonathanliebesman
62213,Dark Shadows,witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion johnnydepp michellepfeiffer helenabonhamcarter comedy fantasy timburton
177677,Mission: Impossible - Rogue Nation,londonengland spy austria villain sequel mission conspiracy viennaopera vienna tomcruise rebeccaferguson simonpegg action adventure thriller christophermcquarrie
7978,The Wolfman,fathersonrelationship victorianengland remake ruralsetting werewolf beniciodeltoro anthonyhopkins emilyblunt drama horror thriller joejohnston
5559,Bee Movie,factoryworker tennis flower florist flowershop pilot college airplane beehive court aftercreditsstinger jerryseinfeld renéezellweger jimcummings family animation adventure comedy stevehickner
49444,Kung Fu Panda 2,martialarts hope fleet panda mission womandirector jackblack angelinajolie dustinhoffman animation family jenniferyuhnelson
10196,The Last Airbender,fire ice warship prince kingdom water village arrest remake attack avatar air spirit world domination cheering noahringer nicolapeltz jacksonrathbone action adventure family fantasy m.nightshyamalan
956,Mission: Impossible III,berlin cia vatican whitehouse secretidentity secret explosive mobilephone map traitor mask honeymoon shanghai pretendedmurder secretmission letter funeral coveredinvestigation toshootdead secretagent video stamp harddrive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration goodandbad researchlaboratory blast tomcruise philipseymourhoffman vingrhames adventure action thriller j.j.abrams
117251,White House Down,usapresident conspiracy secretservice thewhitehouse channingtatum jamiefoxx joeyking action drama thriller rolandemmerich
50321,Mars Needs Moms,boy alien rescue martian alienabduction alieninvasion basedonchildren'sbook duringcreditsstinger sethgreen joancusack danfogler adventure animation family simonwells
11619,Flushed Away,londonengland underworld return ship frog girlfriend rubin hughjackman katewinslet ianmckellen adventure animation comedy family davidbowers
266647,Pan,flying magic fairytale peterpan mermaid pirate fantasyworld levimiller garretthedlund hughjackman adventure family fantasy joewright
82703,Mr. Peabody & Sherman,fathersonrelationship egypt intelligence adoption timetravel boy childprodigy friendship growingup children talkinganimal talkingdog dog firstlove ancientegypt timetraveler duringcreditsstinger newschool georgewashington gags trouble timeparadox prodigy tyburrell maxcharles arielwinter animation adventure family robminkoff
652,Troy,brotherbrotherrelationship adultery mythology beauty trojanwar bravery wall fraud hostility epic swordfight battlefield ancientworld pyre ancientgreece trojanhorse trojan bronzeage spartagreece helenoftroy homer'siliad bradpitt orlandobloom ericbana adventure drama war wolfgangpetersen
80321,Madagascar 3: Europe's Most Wanted,madagascar 3d benstiller sachabaroncohen davidschwimmer animation family conradvernon
36669,Die Another Day,laser britishsecretservice secretserviceagent spacebasedweapon piercebrosnan halleberry rosamundpike adventure action thriller leetamahori
43074,Ghostbusters,femalefriendship ghosthunting reboot ghost melissamccarthy kristenwiig katemckinnon action fantasy comedy paulfeig
95,Armageddon,savingtheworld paris moon cataclysm asteroid selfsacrifice nasa spacemarine lossoffather daughter space wedding astronaut eiffeltowerparis duringcreditsstinger disastermovie spacecentre brucewillis billybobthornton benaffleck action thriller sciencefiction adventure michaelbay
